11:29:08.244 [main] INFO  net.lomibao.nes.components.CPU6502 - 63,3F,???,???,???,1,7,IMP
11:29:08.244 [main] INFO  net.lomibao.nes.components.CPU6502 - 64,40,RTI,Implied,Return from Interrupt,1,6,IMP
11:29:08.244 [main] INFO  net.lomibao.nes.components.CPU6502 - 65,41,EOR,(Indirect;X),Exclusive OR,2,6,IZX
11:29:08.244 [main] INFO  net.lomibao.nes.components.CPU6502 - 66,42,???,???,???,1,2,IMP
11:29:08.245 [main] INFO  net.lomibao.nes.components.CPU6502 - 67,43,???,???,???,1,8,IMP
11:29:08.245 [main] INFO  net.lomibao.nes.components.CPU6502 - 68,44,???,???,???,1,3,IMP
11:29:08.245 [main] INFO  net.lomibao.nes.components.CPU6502 - 69,45,EOR,ZeroPage,Exclusive OR,2,3,ZP0
11:29:08.245 [main] INFO  net.lomibao.nes.components.CPU6502 - 70,46,LSR,ZeroPage,Logical Shift Right,2,5,ZP0
11:29:08.245 [main] INFO  net.lomibao.nes.components.CPU6502 - 71,47,???,???,???,1,5,IMP
11:29:08.246 [main] INFO  net.lomibao.nes.components.CPU6502 - 72,48,PHA,Implied,Push Accumulator,1,3,IMP
11:29:08.246 [main] INFO  net.lomibao.nes.components.CPU6502 - 73,49,EOR,Immediate,Exclusive OR,2,2,IMM
11:29:08.246 [main] INFO  net.lomibao.nes.components.CPU6502 - 74,4A,LSR,Accumulator,Logical Shift Right,1,2,IMP
11:29:08.246 [main] INFO  net.lomibao.nes.components.CPU6502 - 75,4B,???,???,???,1,2,IMP
11:29:08.246 [main] INFO  net.lomibao.nes.components.CPU6502 - 76,4C,JMP,Absolute,Jump,3,3,ABS
11:29:08.247 [main] INFO  net.lomibao.nes.components.CPU6502 - 77,4D,EOR,Absolute,Exclusive OR,3,4,ABS
11:29:08.247 [main] INFO  net.lomibao.nes.components.CPU6502 - 78,4E,LSR,Absolute,Logical Shift Right,3,6,ABS
11:29:08.247 [main] INFO  net.lomibao.nes.components.CPU6502 - 79,4F,???,???,???,1,6,IMP
11:29:08.247 [main] INFO  net.lomibao.nes.components.CPU6502 - 80,50,BVC,Relative,Branch if Overflow Clear,2,2,REL
11:29:08.247 [main] INFO  net.lomibao.nes.components.CPU6502 - 81,51,EOR,(Indirect);Y,Exclusive OR,2,5,IZY
11:29:08.248 [main] INFO  net.lomibao.nes.components.CPU6502 - 82,52,???,???,???,1,2,IMP
11:29:08.248 [main] INFO  net.lomibao.nes.components.CPU6502 - 83,53,???,???,???,1,8,IMP
11:29:08.248 [main] INFO  net.lomibao.nes.components.CPU6502 - 84,54,???,???,???,1,4,IMP
11:29:08.248 [main] INFO  net.lomibao.nes.components.CPU6502 - 85,55,EOR,ZeroPage;X,Exclusive OR,2,4,ZPX
